ID Año Mes Día Hora Min Seg Lat Long Dep mb ms ml mp in 
20354 1982 1 2 0 30 0 11.13 -61.67 23 0 0 0 0 0 
20356 1982 1 2 2 20 0 10.97 -62.05 0 0 0 0 0 0 
20362 1982 1 4 2 18 0 7.11 -73.14 0 4 2.7 0 0 0 
20363 1982 1 4 10 29 0 10.9 -61.35 123 0 0 0 0 0 
20365 1982 1 5 1 0 0 11.49 -59.08 40 0 0 3.8 0 0 
20375 1982 1 9 13 52 0 11.19 -62.06 151 0 0 3.4 0 0 
20382 1982 1 10 21 40 0 11.06 -61.89 65 0 0 3.2 0 0 
20399 1982 1 15 3 59 0 9.4 -69.91 12 5.1 3.8 0 0 0 
20403 1982 1 17 13 41 0 11.36 -60.3 30 0 0 0 0 0 
20408 1982 1 19 7 56 0 10.91 -61.98 18 0 0 3.6 0 0 
20410 1982 1 20 17 55 0 6.97 -72.89 0 4 2.7 0 0 0 
20414 1982 1 22 21 38 0 12.21 -63.7 40 0 0 0 0 0 
20418 1982 1 23 20 48 0 11.24 -60.93 78 0 0 3.2 0 0 
20456 1982 2 11 8 40 0 6.77 -72.98 1 4.8 3.8 0 0 0 
20457 1982 2 11 12 48 0 7.19 -73.24 0 4 2.7 0 0 0 
20460 1982 2 12 3 43 0 10.71 -62.52 87 0 0 3.5 0 0 
20465 1982 2 12 17 29 0 6.8 -73.04 1 4.6 3.5 0 0 0 
20485 1982 2 16 7 53 0 11.63 -61.72 89 0 0 3.4 0 0 
20486 1982 2 16 8 32 0 6.76 -73.02 1 4.6 3.5 0 0 0 
20498 1982 2 20 16 44 0 10.97 -62.41 121 0 0 3.5 0 0 
20507 1982 2 22 2 6 0 6.67 -72.82 1 4.4 3.2 0 0 0 
20511 1982 2 23 12 24 0 10.83 -62.34 75 0 0 3.2 0 0 
20513 1982 2 23 20 7 0 6.79 -73.03 1 4.9 3.9 0 0 0 
20524 1982 2 27 22 16 0 11.9 -61.06 31 0 0 3.6 0 0 
20526 1982 2 28 2 56 0 7.15 -73.12 0 4 2.7 0 0 0 
20553 1982 3 6 13 38 0 7.66 -71.13 0 0 0 0 0 0 
20555 1982 3 7 12 10 0 7.12 -73.18 0 4.4 3.2 0 0 0 
20567 1982 3 9 12 21 0 6.77 -72.97 1 4.7 3.6 0 0 0 
20568 1982 3 9 15 4 0 6.76 -73.03 1 4.6 3.5 0 0 0 
20577 1982 3 10 23 23 0 10.97 -61.32 32 0 0 3 0 0 
20589 1982 3 14 15 16 0 9.98 -68.74 33 0 0 0 0 0 
20603 1982 3 18 2 11 0 10.5 -62.4 58 4.7 0 4.7 0 0 
20604 1982 3 18 5 29 0 10.52 -62 0 0 0 3.2 0 0 
20633 1982 3 26 13 41 0 11.15 -62.22 120 0 0 3.7 0 0 
20641 1982 3 27 20 53 0 11.93 -61 19 0 0 3.4 0 0 
20685 1982 4 5 1 12 0 6.74 -72.98 1 4.1 2.8 0 0 0 
20686 1982 4 5 2 40 0 9.06 -61.57 50 0 0 3.4 0 0 
20735 1982 4 20 1 40 0 11.21 -61.75 88 0 0 3.4 0 0 
20740 1982 4 21 10 57 0 6.81 -73.02 1 4.3 3 0 0 0 
20758 1982 4 29 1 35 0 6.72 -73 1 4.3 3 0 0 0 
