fecha    hhmmss  lat  lon   prof   mag tmag age
1989/12/31 18:51:23.1100 10.374 -62.556 5 3.9 MD ISCCD
1989/12/29 20:21:13.9300 13.861 -60.349 7.7 3.8 MD ISCCD
1989/12/28 17:47:08.5700 10.71 -62.353 73.7 3.6 MD ISCCD
1989/12/24 22:35:56.4000 9.844 -62.42 5 3.8 MD ISCCD
1989/12/23 03:55:29.5200 10.161 -61.931 5 3.7 MD ISCCD
1989/12/21 15:16:13.0200 11.215 -61.891 14.9 3.0 MD ISCCD
1989/12/20 18:15:43.3800 10.835 -62 47.9 3.2 MD ISCCD
1989/12/20 10:30:04.8900 10.851 -62.207 87.5 3.1 MD ISCCD
1989/12/16 21:37:32.3700 12.923 -60.257 24.9 3.4 MD ISCCD
1989/12/16 20:28:45.7000 6.807 -71.778 36 4.7 MB ISCCD
1989/12/16 20:28:45.7000 6.807 -71.778 36 4.3 MS ISCCD
1989/12/16 20:28:45.9500 6.8203 -71.7753 35.5 4.3 MS ISCCD
1989/12/16 20:28:45.9500 6.8203 -71.7753 35.5 4.8 MB ISCCD
1989/12/16 14:38:56.5000 6.612 -73.617 191 4.4 MB ISCCD
1989/12/16 14:38:51.5100 6.9784 -72.9398 145.6 4.3 MB ISCCD
1989/12/14 22:54:51.0000 11.249 -62.225 91.3 3.5 MD ISCCD
1989/12/14 16:09:42.0700 10.386 -60.186 22 3.7 MD ISCCD
1989/12/14 03:58:03.0800 12.761 -59.69 10 3.9 MD ISCCD
1989/12/10 15:38:30.0100 10.937 -62.544 26.8 3.1 MD ISCCD
1989/12/02 02:27:25.8900 10.448 -61.386 24.5 2.8 MD ISCCD
1989/12/01 03:29:13.3900 10.869 -62.149 69.5 2.7 MD ISCCD
1989/11/29 22:41:40.1400 11.37 -61.293 88.2 3.1 MD ISCCD
1989/11/29 10:20:00.4400 11.105 -61.866 69.4 2.9 MD ISCCD
1989/11/28 22:32:47.7500 10.147 -61.406 59.4 2.6 MD ISCCD
