 CAT,  YEAR, MO, DAY, ORIG_TIME,  LAT,  LON, DEP, MAG, IEFM, DTS, DIST
 PDE,   1982,   01, 11, 130511.95,   6.42,  -72.60, 185  
 PDE,   1982,   01, 15, 035919.67,   9.41,  -69.96,  21, 4.90, mb, GS,   .. .       
 PDE,   1982,   01, 25, 175729.13,   6.72,  -72.99, 174,  
 PDE,   1982,   02, 11, 084045.37,   6.77,  -72.98, 169, 4.80, mb, GS,   .. .       
 PDE,   1982,   02, 12, 172945.66,   6.80,  -73.04, 167, 4.60, mb, GS,   .. .       
 PDE,   1982,   02, 16, 083208.30,   6.76,  -73.02, 169, 4.60, mb, GS,   .. .       
 PDE,   1982,   02, 22, 020613.64,   6.67,  -72.82, 181, 4.40, mb, GS,   .. .       
 PDE,   1982,   02, 23, 200729.48,   6.79,  -73.03, 159, 4.90, mb, GS,   .F .       
 PDE,   1982,   03, 09, 122152.23,   6.77,  -72.97, 168, 4.70, mb, GS,   .F .       
 PDE,   1982,   03, 09, 150423.62,   6.76,  -73.03, 168, 4.60, mb, GS,   .F .       
 PDE,   1982,   03, 18, 021150.21,  10.52,  -62.44,  64, 4.70, mb, GS,   .. .       
 PDE,   1982,   04, 05, 011240.17,   6.74,  -72.98, 172, 4.10, mb, GS,   .. .       
 PDE,   1982,   04, 19, 195913.27,   6.87,  -73.15, 163,     ,   ,   ,   .. .       
 PDE,   1982,   04, 21, 105718.34,   6.81,  -73.02, 167, 4.30, mb, GS,   .. .       
 PDE,   1982,   04, 29, 013521.11,   6.72,  -73.00, 172, 4.30, mb, GS,   .. .       
 PDE,   1982,   05, 01, 145905.66,   6.75,  -73.04, 162, 4.50, mb, GS,   .F .       
 PDE,   1982,   05, 10, 012556.80,  10.66,  -62.53,  97, 5.30, mb, GS,   .F .       
 PDE,   1982,   05, 15, 034804.10,   6.84,  -73.12, 164, 4.60, mb, GS,   .. .       
 PDE,   1982,   05, 24, 085554.96,  11.41,  -60.97,  33, 4.40, mb, GS,   .. .       
 PDE,   1982,   05, 24, 232020.60,   6.68,  -73.06, 179, 4.70, mb, GS,   .F .       
 PDE,   1982,   05, 25, 065955.28,   8.45,  -70.57,  65, 4.40, mb, GS,   .. .       
 PDE,   1982,   05, 27, 112606.51,   8.76,  -70.93,  13, 4.80, mb, GS,   .F .       
 PDE,   1982,   06, 01, 191029.32,   6.75,  -73.04, 163, 4.80, mb, GS,   .F .       
 PDE,   1982,   06, 17, 234134.64,  10.34,  -69.81,  33,     ,   ,   ,   .F .       
 PDE,   1982,   06, 24, 233359.14,   9.83,  -73.88,  33, 4.70, mb, GS,   .F .       
 PDE,   1982,   06, 28, 175321.27,   6.93,  -73.25, 152, 4.30, mb, GS,   .. .       
 PDE,   1982,   07, 04, 061608.40,   7.65,  -72.20,  53, 5.50, mb, GS,   .F M       
 PDE,   1982,   07, 09, 144704.15,   6.77,  -73.07, 166, 4.40, mb, GS,   .. .       
 PDE,   1982,   07, 16, 004855.11,   6.68,  -72.87, 179, 4.70, mb, GS,   .. .       
 PDE,   1982,   07, 17, 222414.21,   6.79,  -73.04, 163, 4.90, mb, GS,   .F .       
 PDE,   1982,   07, 20, 190626.59,   6.88,  -73.15, 157,     ,   ,   ,   .. .       
 PDE,   1982,   08, 08, 122421.74,   6.54,  -72.64, 144,     ,   ,   ,   .. .       
 PDE,   1982,   08, 10, 082359.85,  10.68,  -62.61, 103, 4.80, mb, GS,   2F .       
 PDE,   1982,   08, 15, 072627.77,   6.75,  -73.00, 166, 4.90, mb, GS,   .F .       
 PDE,   1982,   08, 26, 074732.75,   6.76,  -72.99, 172, 4.50, mb, GS,   .. .       
 PDE,   1982,   08, 28, 004529.13,   6.75,  -72.98, 167, 4.30, mb, GS,   .. .       
 PDE,   1982,   08, 28, 055855.71,   7.42,  -71.92,  60, 4.60, mb, GS,   .. .       
 PDE,   1982,   09, 16, 001849.48,  10.56,  -62.79, 101, 4.40, mb, GS,   .. .       
 PDE,   1982,   09, 20, 162644.29,  11.22,  -60.85,   6, 5.20, mb, GS,   6F .       
 PDE,   1982,   09, 22, 153524.80,   6.80,  -73.07, 170, 4.30, mb, GS,   .. .       
 PDE,   1982,   09, 25, 011831.83,   6.82,  -73.16, 170, 4.50, mb, GS,   .. .       
 PDE,   1982,   09, 27, 133634.97,  11.06,  -62.09, 126,     ,   ,   ,   .D .       
 PDE,   1982,   10, 10, 143647.11,  11.69,  -70.50,  33,     ,   ,   ,   .. .       
 PDE,   1982,   10, 21, 012329.55,  11.80,  -59.14,  33, 4.60, mb, GS,   .. .       
 PDE,   1982,   10, 21, 160221.12,   6.80,  -73.03, 165, 4.80, mb, GS,   .F .       
 PDE,   1982,   10, 24, 132417.84,   6.87,  -73.11, 159, 4.20, mb, GS,   .. .       
 PDE,   1982,   11, 05, 182615.30,   6.69,  -72.87, 181, 4.40, mb, GS,   .. .       
 PDE,   1982,   11, 14, 203520.77,   6.93,  -73.15, 119,     ,   ,   ,   .. .       
 PDE,   1982,   11, 16, 005013.38,   7.20,  -72.38,  49, 4.90, mb, GS,   .. .       
 PDE,   1982,   11, 23, 172702.03,  10.59,  -63.26,  36, 4.80, mb, GS,   .. .       
 PDE,   1982,   11, 27, 121256.25,   9.88,  -62.59,  33, 4.30, mb, GS,   .. .       
 PDE,   1982,   12, 01, 172846.86,   7.43,  -72.51,  78, 4.80, mb, GS,   .. .       
 PDE,   1982,   12, 11, 101837.04,   8.64,  -71.70,  14, 5.20, mb, GS,   .. .       
 PDE,   1982,   12, 22, 061618.85,  12.80,  -70.82,  33, 4.80, mb, GS,   .. .       
 PDE,   1982,   12, 23, 224703.35,   6.72,  -73.02, 172, 4.80, mb, GS,   .. .       
 PDE,   1983,   01, 02, 172111.62,   6.78,  -72.95, 170, 4.40, mb, GS,   .. .       
 PDE,   1983,   01, 04, 230529.16,   6.77,  -73.00, 174, 4.50, mb, GS,   .. .       
 PDE,   1983,   01, 06, 082301.70,   6.74,  -73.04, 167, 5.20, mb, GS,   .F .       
 PDE,   1983,   01, 09, 184343.11,   9.89,  -69.79,  10,     ,   ,   ,   .F .       
 PDE,   1983,   01, 10, 170227.22,   6.76,  -72.97, 168, 4.90, mb, GS,   .F .       
 PDE,   1983,   01, 13, 120044.65,  11.79,  -73.64,  28, 5.10, mb, GS,   .F .       
 PDE,   1983,   01, 13, 120915.37,  12.04,  -73.45,  28, 4.70, mb, GS,   .F .       
 PDE,   1983,   01, 14, 095939.02,  12.04,  -73.34,  33, 4.40, mb, GS,   .. .       
 PDE,   1983,   01, 15, 073931.91,   6.74,  -72.97, 177,     ,   ,   ,   .. .       
 PDE,   1983,   01, 16, 091113.28,   6.77,  -73.05, 170, 4.20, mb, GS,   .. .       
 PDE,   1983,   01, 21, 111037.60,  10.08,  -72.47, 177, 3.80, mb, GS,   .. .       
 PDE,   1983,   02, 09, 004734.47,  12.37,  -73.26,  33, 4.60, mb, GS,   .. .       
 PDE,   1983,   02, 17, 025057.21,  10.39,  -62.59,  33,     ,   ,   ,   .. .       
 PDE,   1983,   03, 07, 231410.99,   6.83,  -73.02, 161, 4.90, mb, GS,   .. .       
 PDE,   1983,   03, 08, 072210.94,   6.88,  -73.04, 159, 4.30, mb, GS,   .. .       
 PDE,   1983,   03, 08, 170636.52,  11.01,  -62.36,  82, 5.90, mb, GS,   6CFM       
 PDE,   1983,   03, 09, 193011.44,   6.84,  -73.04, 167, 4.70, mb, GS,   .. .       
 PDE,   1983,   03, 15, 142510.05,   6.86,  -73.07, 162, 4.00, mb, GS,   .. .       
 PDE,   1983,   03, 17, 050929.22,   6.89,  -73.09, 161, 4.30, mb, GS,   .. .       
 PDE,   1983,   03, 19, 030026.34,  10.61,  -63.19,  29, 4.80, mb, GS,   .. .       
 PDE,   1983,   03, 26, 092010.61,  11.17,  -62.12,  97, 4.90, mb, GS,   4F .       
 PDE,   1983,   03, 29, 080829.79,   7.55,  -72.61,  33,     ,   ,   ,   .. .       
 PDE,   1983,   03, 31, 074959.72,   6.81,  -73.01, 162, 4.50, mb, GS,   .. .       
 PDE,   1983,   04, 08, 021928.43,   6.66,  -73.07, 189, 4.20, mb, GS,   .. .       
 PDE,   1983,   04, 11, 080606.09,  10.43,  -62.76,  38, 4.80, mb, GS,   .. .       
 PDE,   1983,   04, 11, 081539.86,   9.77,  -62.36,  33, 4.40, mb, GS,   .. .       
 PDE,   1983,   04, 11, 081810.12,  10.42,  -62.76,  40, 6.10, MS,BRK,   5FFM       
 PDE,   1983,   04, 11, 084255.94,  10.35,  -62.77,  33, 4.20, mb, GS,   .. .       
 PDE,   1983,   04, 11, 095406.01,  10.86,  -63.13,  33,     ,   ,   ,   .. .       
 PDE,   1983,   04, 12, 055602.46,  10.32,  -62.69,  33, 4.20, mb, GS,   .. .       
 PDE,   1983,   04, 20, 140611.09,   6.88,  -72.86, 150, 4.80, mb, GS,   .. .       
 PDE,   1983,   04, 30, 041649.62,   6.73,  -72.94, 169, 4.60, mb, GS,   .. .       
 PDE,   1983,   05, 02, 215552.56,  10.38,  -62.67,  33, 4.50, mb, GS,   .. .       
 PDE,   1983,   05, 10, 173908.76,  10.98,  -62.18, 126,     ,   ,   ,   3F .       
 PDE,   1983,   05, 19, 232214.51,   6.75,  -72.96, 163, 5.10, mb, GS,   .F .       
 PDE,   1983,   05, 28, 160154.82,   6.64,  -72.87, 178, 5.00, mb, GS,   .. .       
 PDE,   1983,   05, 28, 194818.24,   6.86,  -73.03, 165, 4.70, mb, GS,   .. .       
 PDE,   1983,   06, 07, 231416.02,   6.43,  -73.32, 139, 4.60, mb, GS,   .. .       
 PDE,   1983,   06, 09, 203830.14,   6.76,  -72.94, 178, 4.70, mb, GS,   .F .       
 PDE,   1983,   06, 13, 061434.91,   6.80,  -72.95, 177, 4.80, mb, GS,   .. .       
 PDE,   1983,   06, 15, 073725.06,   6.86,  -73.04, 166, 4.40, mb, GS,   .. .       
 PDE,   1983,   06, 15, 083318.45,   8.11,  -71.87,  46, 4.80, mb, GS,   .. .       
 PDE,   1983,   06, 15, 083324.57,   8.12,  -71.94,  43, 5.10, mb, GS,   .F .       
 PDE,   1983,   07, 23, 212944.38,   6.88,  -73.07, 158, 4.70, mb, GS,   .. .       
 PDE,   1983,   07, 24, 153945.29,   6.82,  -73.06, 163, 4.90, mb, GS,   .. .       
 PDE,   1983,   08, 14, 050552.29,   9.00,  -73.99,  99, 5.00, mb, GS,   .. .       
 PDE,   1983,   08, 21, 000046.87,   6.92,  -73.13, 150,     ,   ,   ,   .. .       
 PDE,   1983,   08, 23, 192118.56,   6.95,  -73.20, 144,     ,   ,   ,   .. .       
