ano mes dia hh min seg lat  long  prof age  mag
1982 01 01 01 44 39.8   8.222 -71.235  27.1  FUNV 3.7
1982 01 02 00 08 48.6  11.149 -67.362  10.0  FUNV 2.0
1982 01 02 00 27 31.6  11.755 -65.918  58.0  FUNV 2.0
1982 01 02 00 30 48.6  11.126 -61.671  23.0   ISC 0.0
1982 01 04 02 18 18.2   6.699 -72.878 152.0  FUNV 0.0
1982 01 04 16 28 05.8  11.860 -67.310  17.8  FUNV 2.1
1982 01 05 01 00 59.5  11.492 -59.075  40.0   ISC 0.0
1982 01 05 06 42 32.7  10.723 -65.453   3.0  FUNV 2.1
1982 01 06 17 32 09.1   8.033 -72.959 160.0  FUNV 4.3
1982 01 07 14 23 11.1   6.522 -72.064 153.7  FUNV 4.0
1982 01 07 16 28 05.6  10.152 -71.787  39.2  FUNV 3.9
1982 01 07 17 14 04.7   9.882 -67.040   0.0  FUNV 2.6
1982 01 09 13 52 51.7  11.192 -62.055 150.8   ISC 0.0
1982 01 09 15 28 36.3  10.300 -60.970  61.0   ISC 3.1
1982 01 09 23 09 25.4  10.957 -68.028  31.4  FUNV 3.3
1982 01 10 08 10 07.0  13.791 -60.301  44.0 SISRA 0.0
1982 01 10 21 40 15.2  11.058 -61.889  65.0   ISC 0.0
1982 01 11 01 04 29.5   6.689 -72.346 159.4  FUNV 0.0
1982 01 11 09 43 27.5   6.456 -72.084 133.9  FUNV 0.0
1982 01 11 13 05 15.4   6.788 -72.299 181.7  FUNV 0.0
1982 01 11 15 31 47.6   9.966 -67.208  14.6  FUNV 2.1
1982 01 12 05 03 60.1   9.527 -69.205   8.0  FUNV 4.1
1982 01 12 07 09 53.5  10.296 -67.729  37.2  FUNV 3.0
1982 01 13 06 16 24.5  10.790 -62.040 131.0  ISC  3.1
1982 01 13 17 27 35.4   8.918 -71.136   0.1  FUNV 3.7
1982 01 14 10 41 43.9  10.212 -65.763  39.0  FUNV 3.2
1982 01 15 03 59 18.6   9.260 -69.983  12.6  FUNV 5.1
1982 01 15 04 50 60.0   9.300 -69.987  10.0  FUNV 2.8
1982 01 16 08 37 59.0  13.181 -61.429  55.1   ISC 0.0
1982 01 17 13 41 42.0  11.364 -60.303  30.0   ISC 0.0
1982 01 18 04 27 38.0   9.860 -66.664  35.2  FUNV 2.1
1982 01 18 21 57 26.0  10.408 -67.056  25.0  FUNV 2.3
